objekt,omfång,tid,institution,typavhandlingar,anmärkning
Byggnadsföreningen Folkets Hus och Park u p a Vetlanda,"A. 3, 5 hm  B. 1 vol  C. okänt",A. 1911-1970  B. 1908-1980  C. 1987-,A. Vetlanda museum  B. Jönköpings läns folkrörelsearkiv  C I lokalen,"A. protokoll, utgående handlingar, räkenskaper, ritningar, trycksaker, affischer C. protokoll, räkenskaper, verksamhetsberättelser, ritningar",A. Uppgift Jönköpings läns Folkrörelsearkiv B. NAD och FHP-enkät C. FHP-enkät
Byggnadsföreningen Folkets Hus i Kvillsfors u p a,,1914,Jönköpings läns Folkrörelsearkiv,tryckt andelsbevis,
Byggnadsföreningen Folkets Hus i Hok u p a,2 vol.,1920-1957,Jönköpings läns Folkrörelsearkiv,"protokoll, årsberättelser, inventarieböcker, korrespondens, räkenskaper","FA, NAD"
Föreningen Folkets Park u p a i Värnamo,,1914-1929,Folkets Park Värnamo,"protokoll, utgående handlingar, liggare och register, ämnesordnade handlingar, räkenskaper, trycksaker",kontaktperson Ingvar Andersson. NAD
Eksjö Folkets parkförening u p a,44 vol.,1920-1991,Jönköpings läns Folkrörelsearkiv,"protokoll, årsberättelser, utgående handlingar, liggare och register, korrespondens, ämnesordnade hgandlingar, räkenskaper, tryck","FA, NAD"
Byggnadsföreningen Folkets Hus i Jönköping,A. 174 vol.,A. 1912-1979,A. Jönköpings läns Folkrörelsearkiv B. Arbetarrörelsens arkiv och bibliotek  C. I lokalen,"A. protokoll, årsberättelser, förteckningar, korrespondens, inkomna handlingar, liggare, ämnesordnade handlingar räkenskaper m m B. ARAB Gunnar Gräslunds arkiv ritningar C. I lokalen: protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar",A. FA Jänköping B. ARAB Gunnar Gräslunds arkiv vol. 13 C. FHP-enkät
Byggnadsföreningen Folkets Hus u p a Skillingaryd,5 vol.,1936-1989,Jönköpings läns Folkrörelsearkiv,"protokoll, utgående handlingar, matriklar, korresponsdens, ämnesordnade handlingar, räkenskaper mm",NAD
Föreningen Skillingaryds Folkets Park u p a,13 vol.,1943-1989,Jönköpings läns Folkrörelsearkiv,,NAD
Föreningen Folkets Hus och Park u p a Värnamo,,1929-1979,Folkets Hus Värnamo,"protokoll, utgående handlingar, liggare och register, inkomna handlingar, ämnesordnade handlingar, räkenskaper, statistik, kartor och ritningar, fotografier, klipp och trycksaker, föremål, ljudupptagningar",kontaktperson Ingvar Andersson NAD
Byggnadsföreningen Folkets Hus i (Norra) Sandsjö u p a,,1908-1917,Jönköpings läns Folkrörelsearkiv,"stadgar, fotografier, affischer",Förvaras tillsammans med Smålands Annebergs Folkets Park och Björkö Folkets hus.
Forserums Folkets parkförening,,1913-1968,Socialdemokratiska partiexp Forserum och Jönköpings läns Folkrörelsearkiv,"räkenskaper, affischer",
Bodafors Folkets parkförening,,1939-1955,privat,räkenskaper,Uppgift Jönköpings läns Folkrörelsearkiv
Föreningen Aneby Folkets Park u p a,13 vol.,1939-1984,Jönköpings läns Folkrörelsearkiv,,"FA, NAD"
Byggnadsföreningen Folkets Hus u p a i Eksjö,1 vol.,1943-1973,Jönköpings läns Folkrörelsearkiv,"protokoll, årsberättelser","FA, NAD"
Byggnadsföreningen Folkets Hus och Park u p a i Eksjö,,1945-1991,Jönköpings läns Folkrörelsearkiv,,FA
Mariannelunds Folkets parkförening,2 vol.,1952-1963,Jönköpings läns Folkrörelsearkiv,,
Södra Folkets husdistriktet,98 vol.,1937-1997,Kronobergsarkivet,,
Södra Sveriges Folkbiografer,42 vol.,1939-1985,Kronobergsarkivet,,
FHR: Blekinge distrikt,1 vol.,1946-1960,Kronobergsarkivet,,"FA, NAD"
FHR: Smålands distirkt,fragment,1937,Kronobergsarkivet,stadgar,
Alsterfors Folkets husförening,fragment,1910,Kronobergsarkivet,stadgar,
Alsterfors Folkpark u p a,fragment,1936,Kronobergsarkivet,revisionsberättelse,
Alstermo Folkets husförening,fragment,1923,Kronobergsarkivet,stadgar,
Alvesta Folkets husförening u p a,A. 2 vol. B. 1 vol.,B. 1945-1983,"Arbetarrörelsens arkiv och bibliotek i Stockholm, ARAB Kronobergsarkivet",ARAB: Gunnar Gräslunds arkiv vol. 1-2,"ARAB, NAD"
Alvesta Folkpark u p a,8 vol.,1922-1965,Kronobergsarkivet,,
Böksholms Folkets husförening u p a,1 vol.,1926,Kronobergsarkivet,,"FA, NAD"
Gårdsby Folkets husförening,1 vol.,1937-1954,Kronobergsarkivet,,
Hjortsberga Folkets Hus och parkförening,fragment,1938,Kronobergsarkivet,andelsbevis,
Hovmanstorps Folkets husförening u p a,42 vol.,1935-1985,Kronobergsarkivet,,
Kastlösa Folkets husförening,3 vol.,1939-1964,Kronobergsarkivet,,
Konga Folkets Hus & Park u p a,6 vol.,1919-1962,"Förvaring Södra Sandsjö Hembygdsförening, I Folkets Huslokalen samt troligen i kommunarkivet i Tingsryd",,Uppgift Kronobergsarkivet och FHP-enkät.
Kosta Folkets husförening u p a,37 vol.,1908-1983,Kronobergsarkivet,"protokoll, korrespondens, räkenskaper,  verksamhetsberättelser, ritningar","FA, FHP-enkät"
Kyrkhults Folkets husförening,17 vol.,1951-1969,Kronobergsarkivet,,
Lammhults Folkets husförening,20 vol.,1911-1993,Kronobergsarkivet,"protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckningar, fotografier, affischer. övrigt","FA, FHP-enkät"
Lessebo Folkets husförening u p a,,"1907- , 1921-1992",Folkets Hus Lessebo och Kronobergsarkivet,protokoll m m,NAD
Lindshammar Folkets husförening,1 vol.,1948-1960,Kronobergsarkivet,Andelsbevis Folkrörelsernas Biografkedja Småland,
Linneryds Folkets husförening,fragment,1940,Kronobergsarkivet,brev,
"Byggnadsföreningen Folkets Hus Rolsmo, Linneryd",3 vol.,1929-1980,Kronobergsarkivet,,
Ljungby Folkets husförening u p a (Ljungby Folkets Hus och parkförening),A. 44 vol.  B. 52 vol.,A. 1935-1993  B. 1922-1973,A. Kronobergsarkivet B. Ljungby kommunarkiv,"protokoll, verksamhetsberättelser, register, inkomna handlingar, ämnesordnade handlingar, fastighetshandlingar, räkenskaper, ritningar","FA, NAD"
Markaryds Folkets husförening,fragment,1909,Kronobergsarkivet,stadgar,
Norrhults Folkets husförening,fragment,1909-1916,Kronobergsarkivet,"stadgar, andelsbevis, affisch",
Skruvs Folkets husförening u p a,,1939-1948,Folkets hus i Skruv,,Uppgift Kronobergsarkivet
Tingsryds Folkpark förening u p a,21 vol.,1913-1995,Kronobergsarkivet,,
Transjö Folkets husförening u p a,,1924,"privat: Jan-Erik Ritzman, Transjö, Kosta",,Uppgift Kronobergsarkivet
Vislanda Folkpark u p a,1 vol.,1920-1970,Kronobergsarkivet,,
AB Folkets Hus i Växjö,35 vol.,1904-1977,Kronobergsarkivet,,"FA, NAD"
Föreningen Växjö Folkpark u p a,104 vol.,1903-1985,Kronobergsarkivet,,
Åseda Folkets husförening,fragment,1988,Kronobergsarkivet,historik,
Verdandiparken i Älghult,2 vol.,1939-1984,Kronobergsarkivet,,
Älmhults Folkets husförening,A. fragment B.,A. 1946-1958  B.,A. Kronobergsarkivet  B. I lokalen,"A. verksamhetsberättelser 1946-47, 1955-58 B. protokoll, ritningar","FA, FHP-enkät Se även Stockholms företagsminnen: Konsumtionsföreningen Älmhult med omnejd"
Havdhems Folkets husförening,1 vol.,1924-1968,Landsarkivet i Visby,historik,NAD
Rute Folkets husförening,,1919-1963,Landsarkivet i Visby,"protokoll, årsberättelser, verksamhetsrapporter, andelsförteckningar och medlemsblad, korrespondens, stadgar, fastighetshandlingar, försäkringshandlingar, räkenskaper",
Västerhejde Folkets husförening,,1935,Landsarkivet i Visby,stadgar,
Kappelshamn Folkets Hus byggnadsförening u p a,,1932-1981,Landsarkivet i Visby och i lokalen,"protokoll, stadgar, räkenskaper","NAD, FHP-enkät"
FHR: Gotlands Folkets husdistrikt,1 vol.,1943-1959,Landsarkivet i Visby,cirkulär och tryck,NAD
Hörsne Folkets Hus byggnadsförening,,1934-1971,Landsarkivet i Visby,"protokoll, stadgar, köpebrev, aktiebrev",
Roma-Björkne Folkets husförening u p a,A. okänt B. fragment,A. 1947-1987  B. 1935,A. Landsarkivet i Visby  B. ARAB,"A. protokoll, årsberättelser, korrespondens, stadgar, avtal, räkenskaper B. andelsbevis","B. ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
Väskinde Folkets Hus Arbetarnas byggnadsförening u p a,,1936-1987,Landsarkivet i Visby,"protokoll, historik",
Slite Folkets parkförening,,1924-1983,Landsarkivet i Visby,"protokoll, årsberättelser, korrespondens, hyresavtal, andelsägaren, inventarieförteckning, räkenskaper",
Axvalls Folkets husförening,A. 1 vol. B. fragment,A. 1941-1971  B.  1942,A. Skaraborgs läns folkrörelsearkiv   B. ARAB,"A. protokoll, årsberättelser, stadgar, förteckningar B. stadgar, andelsbevis",ARAB FH och FP samling: övriga landet vol. 4
Falköpings Folkets Hus / Folkets Park u p a,A. 24 vol.  B. fragment,"A. 1908-1981   B.  1908, 1932-59",A. Skaraborgs läns folkrörelsearkiv  B. ARAB,"A. protokoll, årsberättelser, stdgar, förteckningar, inkomna skrivelser, gästböcker, ämnesordnade handlingar, räkenskaper, ritningar, klichéer, klipp, trycksaker, artistkataloger, affischer B. styrelseberättelser,  andelsbevis,  upprop, klipp, illustrationer, småtryck, stadgar","A. FA, NAD B. ARAB FH och FP samling: övriga landet vol. 5"
Folkets Hus i Nossebro u p a,A. 1 vol.  B. fragment,A. 1938-1939  B. 1939,A. Skaraborgs läns folkrörelsearkiv B. ARAB,"A. protokoll, stadgar, verifikationer B. stadgar, andelsbevis","A. FA ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
Föreningen Folkets Hus Tidaholm,A. 16 vol. B. fragment,"A.1902-1989 B. spridda år (1903, 1905, 1934)",A. Skaraborgs läns folkrörelsearkiv B. ARAB,"A. protokoll, årsberättelser, utgående skrivelser, stadgar, cirkulär, medlemsmatriklar, uppbördsböcker, förteckningar, korrespondens, inträdesansökningar, ämnesordnade handlingar, räkenskaper, fotografier, klipp B. korrespondens, fotografier, andelsbevis m m","FA ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9"
Gösslunda Folkets husförening u p a,A. 1 vol.  B. fragment,A. 1941-1969  B. 1941,A. Skaraborgs läns folkrörelsearkiv   B. ARAB,"A. protokoll, årsberättelser, utgående handlingar, matriklar, inkomna handlingar, ämnesordnade handlingar, räkenskaper B. stadgar, andelsbevis",A. FA B. ARAB FH och FP samling: övriga landet vol. 5
Karlsborgs Folkets husförening u p a,3 vol.,1941-1979,Skaraborgs läns folkrörelsearkiv,"protokoll, årsberättelser, utgående handlingar, förteckningar, inkomna handlingar, räkenskaper, ritningar",FA
Leksbergs Folkets husförening,1 vol.,1944-1984,Skaraborgs läns folkrörelsearkiv,"protokoll, årsberättelser, utgående handlingar, inkomna handlingar, räkenskaper",
Lidköpings Folkets husförening / Folkets Park,47 vol.,1906-1985,Skaraborgs läns folkrörelsearkiv samt i lokalen,"protokoll, årsberättelser, utgående handlingar, stadgar, matriklar, inkomna skriverlser, ämnesordnade handlingar, räkenskaper, ritningar, fotografier, klipp","FA, NAD, FHP-enkät"
Mariestads Folkets husförening,8 vol.,1906-1985,Skaraborgs läns folkrörelsearkiv,"protokoll, utgående handlingar, förteckningar, inkomna handlingar, historik, räkenskaper, ritningar, trycksaker",
Mölltorps Folkets husförening,2 vol.,1947-1983,Skaraborgs läns folkrörelsearkiv,"årsredovisnignar, utgående cirkulär, kassaböcker",
Skara Folkets husförening / Folkets Park,A. 1 vol.  B. fragment,"A. 1910-1999  B. 1911, 1918, 1941- 1955",A. Skaraborgs läns folkrörelsearkiv B. ARAB,"A. årsberättelser, utgående handlingar, inkomna skrivelser B. stadgar, verksamhetsberättelser","A. FA, NAD B. fragment"
Skövde Folkets husförening / Folkets Park,A. 4 vol.  B. fragment,A. 1928-1992,A. Skaraborgs läns folkrörelsearkiv B. ARAB,"A. protokoll, utgående handlingar, årsredovisningar, ämnesordnade handlingar, ekonomiska redovisningar B. klipp m m","A. FA B. ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment Jfr Byggnadsföreningen Labor , Skövde"
Vara Folkets husförening u p a,A. 1 vol. B. fragment,A. 1932-1978 B. 1931,A. Skaraborgs läns folkrörelsearkiv  B. ARAB,"A. protokoll, stadgar, förteckningar, ämnesordnade handlingar, klipp B. andelsbevis",ARAB: Folkets och Parker: övriga landet vol 10 [samling]
Vinninga Folkets husförening,A. 4 vol. B. fragment,A. 1919-1979 B. 1935,A. Skaraborgs läns folkrörelsearkiv  B. fragment,"A. protokoll, årsberättelser, stdgar, förteckningar, inkomna skiverlser, ämnesordnade handlingar, räkenskaper B. småtryck",ARAB: Folkets och Parker: övriga landet vol 10 [samling]
Folkets Park Malmö,A. c:a 14 hm B. 2 vol.,A. 1884-1992  B. 1900-1964,A. Arbetarrörelsens arkiv i Malmö B.Skånes arkivförbund,"A. protokoll, verksamhetsberättelser, utgående handlingar, historiker, inkomna handlingar, korrespondens, ämnesordnade handlingar, organisationshandlingar, räkenskaper, ritningar, tryck, klipp B. verksamhetsberättelser, organisationshandlingar, räkenskaper, fotografier, tryck",AAM
"Byggnads AB Folkets Hus, Malmö",A. 6 hm       B. fragment,"A. 1888-2000    B.1892, 1906, 1946",A. Arbetarrörelsens arkiv i Malmö   B. Skånes arkivförbund,"A. protokoll, verksamhetsberättelser, utgående handlingar, inkomna handlingar, organisationshandlingar, räkenskaper, ritningar, tyryck, klipp, föremål (stämpel) B. organisationshandlingar","Uppgifter från Arbetarrörelsens arkiv i Malmö,  Skånes arkivförbund och NAD"
Löddeköpinge Folkets husförening,1 vol.,1962,Skånes arkivförbund,klipp,
FHR: Skånes distrikt,A o B fragment  C. 4 vol. D. 1 vol.,C. 1940-1981 D. 1942-1955,"A. Skånes arkivförbund, B. ARAB, C. Arbetarrörelsens arkiv i Landskrona D. Arbetarrörelsens arkiv i Malmö","A. fragment B. FHP samling: Övriga landet vol 4:  årsberättelser 1942-43, avtal 1943 C. protokoll, verksamhetsberättelser, utgående handlingar, korrespondens, räkenskaper, fotografier. D. verksamhetsberättelser","Häri ingår 1942: Malmö, Svalöv, Hässleholm, Ljungbyhed, Trelleborg, Landskrona, Hasslarp, Helsingborg, Klagshamn, Limhamn,   Ängelholm, Glimåkra, Bromölla, Åhus, Balkåkra, Skromberga, Dösjöbro, Marieholm, Nyvång, Kävlinge, Arkelstorp, Färlöv, Klippan, Hyllinge, Gruva, Skivarp"
"Folkets husföreningen, Arlöv",A. 1 vol.    B. fragment,A. 1929-1968,A. Arbetarrörelsens arkiv i Malmö B. Skånes arkivförbund,"A. protokoll, verksamhetsberättelser, register, organisationshandlingar",
"Folkets husföreningen, Balkåkra",fragment,,Skånes arkivförbund,,
"Folkets husföreningen, Billesholm",fragment,,Skånes arkivförbund,,
"Folkets husföreningen, Bjuv",fragment,,Skånes arkivförbund,,
"Folkets husföreningen, Bjärröd",A. 1 vol.    B. fragment,A. 1935-1951,A. Arbetarrörelsens arkiv i Malmö    B. Skånes arkivförbund,A. protokoll,
"Folkets husföreningen, Bromölla",A. okänt B. fragment,A. 1906-1975 B. u å,A. I lokalen Bromölla Folkets Hus B. Skånes arkivförbund,"A. protokoll, verksamhetsberättelser, register, ämnesordnade handlingar, räkenskaper, ritningar C. Vykort från invigningsfesten 15/11 1908","FHP-enkät, FA, NM"
"Folkets husföreningen, Börringe",A. ?    B. fragment,A. 1907-1971,"A. Arbetarrörelsens arkiv i Malmö, B. Skånes arkivförbund","A. protokoll, räkenskaper",
"Folkets Hus, Eslöv; Arbetarnas fastighetsakatiebolag alt. Eslövs Arbetares Byggnadsförening Folkets Hus u p a",A. fragment B. okänt,u å,A. Skånes arkivförbund B. Arbetarrörelsens arkiv i Eslöv,,NAD
"Folkets Hus, Everöd Arbetarnas byggnadsförening",fragment,,Skånes arkivförbund,,
"Folkets husföreningen, Fosie",A. 1 vol.    B. fragment,A. 1923-1943,A. Arbetarrörelsens arkiv i Malmö    B. Skånes arkivförbund,"verksamhetsberättelser, organisationshandlingar",
"Folkets husföreningen, Genarp",A. ?     B. fragment,A. 1919-1979,A. Arbetarrörelsens arkiv i Malmö    B. Skånes arkivförbund,"A. protokoll,  verksamhetsberättelser, reigster, organisationshandnlingar, räkenskaper, föremål (stämpel)",
Folkets Hus Glemminge och Ingelstorp byggnadsförening,fragment,,Skånes arkivförbund,,
"Folkets Hus, Glimmingebro Arbetarnas byggnadsförening",fragment,,Skånes arkivförbund,,
"Folkets Hus, Hyllinge, byggnadsförening",A. fragment B. okänt,A.+ B. okänt,A. Skånes arkivförbund B. I lokalen,A. okänt B. protokoll efter 1975,A. FA B. FHP-enkät
Hörby Folkets husförening u p a,A. fragment B.,,A. Skånes arkivförbund B. I lokalen,"B. protokoll, räkenskaper, verksamhetsberättelser, ritningar","FA, FHP-enkät"
"Folkets husföreningen, Jordbergaorten",A. ?   B. fragment,A. 1906-1966  B. ?,A. Arbetarrörelsens arkiv i Malmö  B. Skånes arkivförbund,"protokoll, register, organisationshandlingar, räkenskaper, ritningar",AAM
"Folkets husföreningen, Klippan",fragment,,Skånes arkivförbund,,
Kvidinge Folkets husförening u p a,A. fragment  B. okänt,okänt,A. Skånes arkivförbund  B. ABF i Åstorp,"protokoll, verksamhetsberättelser, ritningar, målning",FHP-enkät
"Folkets hus, Landskrona Arbetarnas fastighetsförening",fragment,,Skånes arkivförbund,,
"Folkets husföreningen, Lomma","A. 1, 25 hm   B. fragment",A. 1898-1992,A. Arbetarrörelsens arkiv i Malmö  B. Skånes arkivförbund,"protokoll, verksamhetsberättelser, historiker, fastighetshandlingar, räkenskaper, ritningar, fotografier","alt namn: Lomma Arbetares Byggnadsförening u p a 1898, Föreningen Folkets Hus och Park u p a Lomma 1941"
"Folkets husföreningen, Löberöd",fragment,,Skånes arkivförbund,,
"Folkets Hus, Marieholm Arbetarnas byggnadsförening",fragment,,Skånes arkivförbund,,
"Folkets husföreningen, Påarp",fragment,,Skånes arkivförbund,,
"Folkets husföreningen, Rydsgård",fragment,,Skånes arkivförbund,,
"Folkets husföreningen S:t Olof,  byggnadsföreningen",fragment,,Skånes arkivförbund,,
"Folkets husföreningen, Sibbhult",A. fragment  B. okänt,,A. Skånes arkivförbund  B. I lokalen,"A. okänt B. protokoll, räkenskaper, fotografier, affischer",
"Folkets husföreningen, Sjöbo",A. fragment,,A. Skånes arkivförbund B. hos privatperson f d ordförande,"B. protokoll, räkenskaper, verksamhetsberättelser, fotografier",FHP-enkät
"Folkets husföreningen, Skivarp Arbetarebyggnadsförenignen",A. 6 vol.  B. fragment,A. 1905-1956,A. Arbetarrörelsens arkiv i Malmö  B. Skånes arkivförbund,"protokoll, verksamhetsberättelser, räkenskaper, ritningar",AAM
"Folkets husföreningen, Staffanstorp Arbetarnas fastghetsförening u p a",A. 2 vol.   B. fragment,1906-1993,A. Arbetarrörelsens arkiv i Malmö  B. Skånes arkivförbund,"protokoll, verksamhetsberättelser","FHP-enkät, AAM, FA"
"Folkets husföreningen, Stora Herrestad",fragment,,Skånes arkivförbund,,
Föreningen Folkets Hus i Svalöv,A. okänt B. fragment,,A. I lokalen B. Skånes arkivförbund  C. Nordiska museets inventering 1958,"A. protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarioeförteckning, ritningar, fotografier, affischer B. okänt C. Fotografi",A. FHP-enkät  B. FA  C. NM
"Folkets husföreningen, Teckomatorp",fragment,,Skånes arkivförbund,,
Byggnadsföreningen Folkets Hus Ängelholm,A. 17 vol. B. fragment,A. 1898-1968,A. Folkrörelsearkivet i Ängelholm B. Skånes arkivförbund,"protokoll, utgående handlingar, verksamehtsberättelser, register, inkomna handlingar, ämnesordnade handlingar, organisationshandlingar, personalhandlingar, fastighetshandlingar, räkenskaper, pressklipp",
"Folkets husföreningen, Östratorp",fragment,,Skånes arkivförbund,,
"Folkets Hus och parkföreningen, Hasslarp",fragment,,Skånes Arkivförbund,,
"Folkets Hus och parkföreningen, Hässleholm",A. fragment B. okänt,,A. Skånes Arkivförbund B. Hässleholms folkrörelsearkiv,,NAD
"Folkets Hus och parkföreningen, Höganäs",fragment,,Skånes Arkivförbund,,
"Folkets Hus (och park) föreningen, Klagshamn","A. 0,1 hm  B. fragment  C. 1 vol.",1906-1968,A. Stadsarkviet i Malmö  B. Skånes Arkivförbund C. Arbetarrörelsens arkiv i Malmö,"C. protokoll, verksamhetsberättelser, ämnesordnade handlingar, organisationshandlingar, räkenskaper",NAD
"Folkets Hus och parkföreningen, Kristianstad",A. okänt B. fragment,,A. I lokalen B. Skånes Arkivförbund,"A. protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckning, ritningar, fotografier, affischer",A. FHP-enkät B. FA
"Folkets Hus och parkföreningen, Limhamn","A. 2, 5 hm  B. fragment",A. 1898-1971,A. Arbetarrörelsens arkiv i Malmö   B. Skånes Arkivförbund C. I lokalen,"protokoll, verksamhetsberättelser, utgående handlingar, inkomna handnlingar, organisationshandlingar, räkenskaper, ritningar, fotografier",AAM: 1898 bildades Limhamns arbetares byggnadsförening. Under 1940-talet ändrades namnet till Byggnadsföreningen Limhamns Folkets Hus och Park FHP-enkät
"Folkets Hus och parkföreningen, Lund",fragment,,Skånes Arkivförbund,,
"Folkets Hus och parkföreningen, Malmö",fragment,,Skånes Arkivförbund,,
"Folkets Hus och parkföreningen, Simrishamn",A. 3 vol. B. fragment,1923-1945,A. Simrishamns kommuns centralarkiv B. Skånes Arkivförbund,"ämnesordnade handlingar, fastighetshandlingar, räkenskaper",
